Taxon Name,Tissue Type,511,529,575,629,661,777,841,878,913,1009,1033,1182,1230,1278,1350,1408,1453,1489,1554,1576,1587,1684,1704,1777
South American Saltasaurid,Eggshell,0.2631,0.2141,0.186,0.1697,0.2449,0.4804,0.2283,0.3124,0.2146,0.2368,0.2978,0.4363,0.2393,0.3587,0.2733,0.5179,0.5143,0.3002,0.5495,0.6594,0.5669,0.6153,0.694,0.3218
French Titanosaur,Eggshell,0.3776,0.4284,0.4573,0.4131,0.4241,0.5742,0.3332,0.4655,0.3653,0.3267,0.3343,0.7463,0.503,0.5303,0.3475,0.7118,0.7687,0.4793,0.6628,0.7247,0.7051,0.7664,0.8751,0.5194
Heyuannia huangi,Eggshell,0.446,0.4068,0.3547,0.3574,0.4482,0.6349,0.3655,0.5622,0.365,0.3922,0.4404,0.5444,0.346,0.5303,0.5522,0.5556,0.4469,0.3112,0.7106,0.8208,0.7188,0.79,0.7694,0.4959
Mongolian Microtroodontid #1,Eggshell,0.2853,0.2954,0.2884,0.2818,0.3191,0.5003,0.3629,0.5113,0.3577,0.2159,0.2259,0.4764,0.329,0.4177,0.1845,0.4655,0.49,0.4107,0.5158,0.5521,0.5335,0.5289,0.5957,0.3436
Mongolian Microtroodontid #2,Eggshell,0.3078,0.3385,0.2932,0.2728,0.2782,0.4123,0.3255,0.4749,0.3031,0.163,0.1912,0.4416,0.3192,0.3983,0.1801,0.4835,0.502,0.3787,0.4377,0.5169,0.4441,0.4501,0.5411,0.3327
Mongolian Troodontid #1,Eggshell,0.4776,0.5295,0.4687,0.4623,0.4688,0.683,0.4916,0.6767,0.5139,0.3476,0.5018,0.6451,0.5533,0.6523,0.3967,0.8466,0.777,0.534,0.6518,0.8387,0.8393,0.8762,0.9644,0.377
Mongolian Troodontid #2,Eggshell,0.4845,0.5384,0.4731,0.4717,0.4734,0.6911,0.4999,0.6832,0.5191,0.3558,0.5135,0.6552,0.5588,0.6638,0.4041,0.8555,0.7853,0.5443,0.6642,0.8457,0.8498,0.891,0.9778,0.3862
Chinese Troodontid,Eggshell,0.3784,0.3067,0.2153,0.3596,0.4169,0.4574,0.3536,0.5407,0.3832,0.2343,0.3239,0.489,0.3285,0.446,0.2042,0.4296,0.493,0.305,0.5151,0.5797,0.5789,0.4505,0.4599,0.2145
North American Troodontid,Eggshell,0.2104,0.1949,0.1864,0.1782,0.2264,0.3206,0.2529,0.4101,0.2719,0.134,0.126,0.388,0.3097,0.3934,0.101,0.256,0.2901,0.2486,0.4375,0.4936,0.4784,0.3736,0.4455,0.2453
Deinonychus antirrhopus,Eggshell,0.2621,0.2401,0.1837,0.1647,0.1368,0.442,0.3647,0.4375,0.244,0.1219,0.1841,0.5676,0.4631,0.4431,0.2108,0.4094,0.3956,0.4061,0.5467,0.6249,0.6601,0.3826,0.4305,0.2807
Enanthiornithine,Eggshell,0.2969,0.3114,0.2053,0.2159,0.3312,0.4994,0.3315,0.4036,0.2837,0.1931,0.2534,0.5888,0.4621,0.4188,0.2507,0.6265,0.6258,0.3999,0.6305,0.652,0.6222,0.593,0.7229,0.3467
Crocodile,Dental tissues,0.7934,0.7715,0.7438,0.6995,0.7909,0.2814,0.06685,0.3059,0.235,0.2867,0.3208,0.2028,0.04219,0.2671,0.2098,0.7639,0.9866,0.9465,0.6473,0.6552,0.6276,0.2773,0.3583,0.5046
Goniophilid,Dental tissues,0.703,0.757,0.8066,0.8668,0.9911,0.3274,0.03561,0.08954,0.05588,0.1375,0.1877,0.1234,0.0371,0.09376,0.1041,0.4049,0.5576,0.617,0.5126,0.524,0.5287,0.4055,0.4081,0.3244
Ichthyosaurus,Dental tissues,0.8338,0.8661,0.8953,0.9192,0.9983,0.3403,0.04074,0.141,0.06366,0.155,0.1945,0.2273,0.1576,0.3317,0.3547,0.6151,0.6946,0.6297,0.4857,0.5319,0.5429,0.2352,0.274,0.3486
Lepidosauromorph,Dental tissues,0.6383,0.6148,0.5588,0.5199,0.5207,0.1931,0.1093,0.2162,0.2414,0.4054,0.4725,0.2875,0.09905,0.1663,0.1607,0.3755,0.5003,0.4648,0.4598,0.5186,0.5543,0.2396,0.2627,0.3274
Plesiosaur,Dental tissues,0.9734,0.97,0.937,0.8917,0.9581,0.3373,0.06225,0.2207,0.1492,0.2344,0.2879,0.2389,0.1281,0.2882,0.2754,0.7418,0.8804,0.827,0.637,0.6427,0.6015,0.3509,0.4253,0.4937
Sauropod,Dental tissues,0.5904,0.5691,0.5098,0.4084,0.3953,0.1488,0.063,0.2086,0.215,0.4245,0.4961,0.2391,0.03777,0.07769,0.07763,0.5082,0.8428,0.9928,0.6545,0.6366,0.6259,0.3217,0.3376,0.2594
Stegosaurus,Dental tissues,0.8294,0.8691,0.8837,0.9803,0.9571,0.4327,0.192,0.222,0.2275,0.2783,0.2863,0.2711,0.1962,0.3042,0.2881,0.5594,0.7135,0.6138,0.4504,0.4496,0.4085,0.339,0.3711,0.3534
Tyrannosaurus,Dental tissues,0.3571,0.4099,0.4968,0.6127,0.7634,0.4304,0.3478,0.4289,0.4008,0.3378,0.302,0.07927,0.02391,0.05883,0.03416,0.136,0.1918,0.1471,0.1276,0.152,0.1506,0.1165,0.1354,0.1515
